run_id,model_type,seed,num_ants,mean_arrest_duration,pheromones.pheromone_max_timestep,pheromones.pheromone_radius_multiplier,pheromones.pheromone_threshold,experiment,pheromones.pheromone_decay_rate,pheromones.pheromone_deposition_rate,final_clustering,steady_state_clustering
119,direct,456,128,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.828125,0.8267846430713858
119,direct,456,128,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.828125,0.8267846430713858
86,direct,456,64,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,,0.0,0.0
86,direct,456,64,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,,0.0,0.0
72,direct,456,64,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.828125,0.8658455808838232
72,direct,456,64,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.828125,0.8658455808838232
126,direct,456,128,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.9375,0.9114395870825834
126,direct,456,128,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.9375,0.9114395870825834
44,direct,123,128,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.0,0.0
44,direct,123,128,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.0,0.0
110,direct,456,128,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.484375,0.6377599480103979
110,direct,456,128,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.484375,0.6377599480103979
43,direct,123,128,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,0.0
43,direct,123,128,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,0.0
128,direct,456,128,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,,0.921875,0.96561625174965
128,direct,456,128,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,,0.921875,0.96561625174965
88,direct,456,64,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,,0.0,0.0
88,direct,456,64,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,,0.0,0.0
117,direct,456,128,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.015625,0.000606128774245151
117,direct,456,128,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.015625,0.000606128774245151
198,direct,789,128,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.015625,0.0015559388122375526
198,direct,789,128,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.015625,0.0015559388122375526
153,direct,789,64,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,1.0,0.9484821785642872
153,direct,789,64,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,1.0,0.9484821785642872
38,direct,123,128,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.5625,0.5768346330733853
38,direct,123,128,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.5625,0.5768346330733853
154,direct,789,64,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.96875,0.9649413867226555
154,direct,789,64,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.96875,0.9649413867226555
36,direct,123,128,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.015625,0.00033430813837232555
36,direct,123,128,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.015625,0.00033430813837232555
196,direct,789,128,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
196,direct,789,128,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
162,direct,789,64,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.015625,0.0004811537692461508
162,direct,789,64,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.015625,0.0004811537692461508
31,direct,123,64,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,0.0
31,direct,123,64,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,0.0
165,direct,789,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,1.249750049990002e-05
165,direct,789,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,1.249750049990002e-05
191,direct,789,128,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.890625,0.8794459858028394
191,direct,789,128,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.890625,0.8794459858028394
131,direct,456,128,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.953125,0.9443580033993202
131,direct,456,128,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.953125,0.9443580033993202
91,direct,456,64,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,,0.015625,0.0023370325934813038
91,direct,456,64,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,,0.015625,0.0023370325934813038
65,direct,123,128,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,,0.828125,0.7523432813437313
65,direct,123,128,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,,0.828125,0.7523432813437313
136,direct,456,128,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,,0.015625,0.001334108178364327
136,direct,456,128,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,,0.015625,0.001334108178364327
62,direct,123,128,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.0,0.0
62,direct,123,128,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.0,0.0
96,direct,456,64,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,0.0
96,direct,456,64,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,0.0
109,direct,456,128,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.015625,0.0007748450309938012
109,direct,456,128,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.015625,0.0007748450309938012
100,direct,456,64,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,,0.921875,0.8814455858828234
100,direct,456,64,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,,0.921875,0.8814455858828234
54,direct,123,128,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.015625,0.00020933313337332535
54,direct,123,128,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.015625,0.00020933313337332535
107,direct,456,64,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.71875,0.6895152219556089
107,direct,456,64,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.71875,0.6895152219556089
98,direct,456,64,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.0,0.0
98,direct,456,64,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.0,0.0
